experiment_type,article,expected_summary,summary_zero_shot,rouge1_zero_shot,rouge2_zero_shot,rougeL_zero_shot,bert_f1_zero_shot,summary_one_shot,rouge1_one_shot,rouge2_one_shot,rougeL_one_shot,bert_f1_one_shot,summary_two_shot,rouge1_two_shot,rouge2_two_shot,rougeL_two_shot,bert_f1_two_shot
ET1,"Usually, rainbows are seen in the rain. That is because there are many water droplets falling through the sky refracting the sun’s light. To mimic that, you should find a source of water that can be moved. A water hose or a spray bottle will work nicely. A stream of water is not ideal for creating a visible rainbow. Instead, you want a mist of water that the sun has to pass through. You can create this mist by holding your thumb over the end of a water hose, or turning a nozzle to the “mist” position.",Locate a water source. Create a mist.,"Rainbows typically appear in rainy conditions due to water droplets refracting sunlight. To create a rainbow artificially, use a portable water source like a hose or spray bottle to produce a mist, rather than a steady stream of water. This can be done by covering the hose's end with your thumb or adjusting",0.19672131147540986,0.1016949152542373,0.16393442622950818,0.614287257194519,"""To create a visible rainbow, use a water hose or spray bottle to produce a mist, allowing sunlight to pass through it.""",0.3448275862068965,0.22222222222222224,0.27586206896551724,0.6860988736152649,"""Create a rainbow by using a water hose or spray bottle to produce a mist for sunlight to pass through.""",0.37037037037037035,0.23999999999999996,0.29629629629629634,0.7103670835494995
ET1,"Both of your legs should be straight, with your arms spread out to your sides and your head facing upwards. Cross it over your other leg. Make sure your leg remains straight as you do this, or else the stretch won't be as effective.",Lie on your back. Take your outer leg and lift it into the air.,"To effectively perform the stretch, keep both legs straight, arms spread to the sides, and head facing upwards while crossing one leg over the other. Ensure the leg stays straight for optimal results.",0.1276595744680851,0.0,0.1276595744680851,0.5873168110847473,"""Stretch by keeping both legs straight, arms out to the sides, and head up while crossing one leg over the other.""",0.17142857142857143,0.0,0.17142857142857143,0.6477373838424683,"""Keep your legs straight and arms spread while crossing one leg over the other for an effective stretch.""",0.25,0.0,0.25,0.6713529825210571
ET1,"Look for the height at which your eyeglasses rest when on your face. If the lenses rest too high up or too low down, it is likely a problem with the nosepiece and you will need to make an adjustment to this part of your glasses.",Identify nosepiece problems.,"Check the position of your eyeglasses on your face; if the lenses are too high or too low, the nosepiece may need adjustment.",0.07692307692307691,0.0,0.07692307692307691,0.5686717629432678,"""Check the height of your eyeglasses on your face; if they are too high or low, adjust the nosepiece.""",0.09090909090909091,0.0,0.09090909090909091,0.590177595615387,"""Check the positioning of your eyeglasses; if the lenses are misaligned, adjust the nosepiece.""",0.11764705882352941,0.0,0.11764705882352941,0.6289921998977661
ET1,"You must have less than ten villagers in your town currently. Ten is the maximum number, and thus, you cannot trade if you’re at capacity! If arranging a trade online, you need to make sure that you can connect to faraway towns. Essentially, you need to have an Internet connection. Internet connection isn't necessary if you are visiting a nearby town.",Count the number of current villagers. Check your Internet connection.,"To trade, you must have fewer than ten villagers in your town, as ten is the maximum capacity. An Internet connection is required for online trades with distant towns, but it's not needed for visiting nearby towns.",0.20833333333333334,0.043478260869565216,0.16666666666666666,0.5566651225090027,"""You can only trade if you have fewer than ten villagers in your town. An Internet connection is required for online trades, but not for visiting nearby towns.""",0.21052631578947364,0.05555555555555555,0.21052631578947364,0.5869784951210022,"""Have fewer than ten villagers to trade in your town, and ensure an Internet connection for online trades.""",0.2857142857142857,0.07692307692307691,0.2857142857142857,0.6552152037620544
ET1,"Wear soft colors, not too girly. Soft colors would be colors like forest green, light pink, sea blue, foam green, pearl white or grey. Have an image that really reflects on the word ""enchanting"". Don't wear anklets, and wearing long necklaces (not too long) would be perfect. Don't overdress, just a silver ring and necklace will do. Don't always wear pinks, and don't wear too many dark colors. Try not to do high ponytails. That is not enchanting. Try something new. Also, shower everyday.","Make sure you wear clothes that aren't too revealing or toward a group like goth, preppy, etc. Wear some jewelry. Don't get the impression of girliness in your clothes. Wear your hair in different way all the time.","Opt for soft colors like forest green, light pink, sea blue, foam green, pearl white, or grey, steering clear of overly girly tones. Aim for an enchanting image without excessive dressing; a simple silver ring and necklace suffice. Avoid anklets, high ponytails, and an overab",0.11764705882352941,0.0,0.07058823529411765,0.596835196018219,"""Choose soft, non-girly colors like forest green and pearl white. Aim for an enchanting look with simple accessories like a silver ring and necklace. Avoid anklets, high ponytails, and overdressing. Maintain daily hygiene.""",0.08108108108108107,0.0,0.027027027027027025,0.6307026147842407,"""Choose soft, non-girly colors like forest green and light pink. Avoid anklets, opt for simple jewelry, and don’t overdress. Experiment with your hairstyle and maintain good hygiene.""",0.17391304347826086,0.029850746268656716,0.14492753623188406,0.6750892400741577
ET1,The clippers will take off most of your hair if you don't put a guard on them. Be aware that this cut often shows the scalp since it's so short.,Use the clippers without a guard for the shortest buzz cut possible.,Using clippers without a guard will result in a very short haircut that may expose the scalp.,0.41379310344827586,0.2222222222222222,0.41379310344827586,0.7675443887710571,"""Using clippers without a guard will result in a very short haircut that may expose the scalp.""",0.41379310344827586,0.2222222222222222,0.41379310344827586,0.7644389271736145,"""Using clippers without a guard will result in a very short haircut that exposes the scalp.""",0.42857142857142855,0.23076923076923075,0.42857142857142855,0.7736383080482483
ET1,"In Yosemite, the location of the default browser setting has been moved to the System Preferences menu. This will load a list of general system options. Select the browser that you want to use from the list of available browsers. You'll need to install your new browser before you can select it from the list.","Click the Apple menu and select ""System Preferences"". Click the ""General"" option. Click the ""Default web browser"" menu.","In Yosemite, you can change the default browser setting through the System Preferences menu, where you'll find a list of available browsers. Make sure to install your desired browser before selecting it from the list.",0.3333333333333333,0.07692307692307693,0.14814814814814814,0.5782817006111145,"""In Yosemite, change the default browser in System Preferences by selecting from a list of installed browsers.""",0.34285714285714286,0.12121212121212122,0.22857142857142856,0.6276056170463562,"""Change the default browser in Yosemite through System Preferences by selecting from the available installed browsers.""",0.411764705882353,0.125,0.29411764705882354,0.6190951466560364
ET1,"You can do this by clicking on the ""Start"" icon on the lower-left side of the task bar. You can also click the ""Start"" button on your keyboard; it is located on the bottom left. It looks like a white window. "" This will bring up several results, including one that says ""Settings."" This will take you to a new screen. You will get a new pop-up on your desktop that says ""Sounds."" Click here to continue.","Bring up the Start menu. Start typing in ""microphone. Click on ""Settings"" from the search results. Select ""Manage audio devices"" from the list.","To access the ""Settings,"" click the ""Start"" icon on the lower-left side of the task bar or press the ""Start"" button on your keyboard. This will display several options, including ""Settings."" Clicking on it will open a new screen with a pop-up labeled ""Sounds.""",0.2608695652173913,0.059701492537313425,0.14492753623188406,0.609498143196106,"""Access Settings by clicking the 'Start' icon or button on the keyboard. Select 'Sounds' from the pop-up results to proceed.""",0.5,0.09523809523809525,0.31818181818181823,0.7105315923690796,"""Click the 'Start' icon on the taskbar or the keyboard to access 'Settings' and proceed to the 'Sounds' pop-up.""",0.37209302325581395,0.04878048780487805,0.23255813953488372,0.6730976700782776
ET1,"By modeling these behaviors to your child, it will get him in the routine of always doing these things whether he is at home or away from home. He will become comfortable with these routines and it will not feel like a challenge to complete them every time he eats.","Help your child to constantly read labels, check the ingredients that are in food and remind him to always carry his medicine with him.","Modeling behaviors for your child helps establish routines that they will consistently follow at home and away, making these practices feel easy and natural over time.",0.2,0.041666666666666664,0.16,0.596983790397644,"""Model positive eating behaviors for your child to help them develop comfortable routines at home and away.""",0.24390243902439027,0.10256410256410256,0.19512195121951217,0.6294926404953003,"""Modeling behaviors for your child will help them establish comfortable eating routines at home and away.""",0.2,0.052631578947368425,0.15,0.6244784593582153
ET1,"To do so click on the yellow and brown app that contains the letters ""Ai.",Open or create a file in Adobe Illustrator.,"Click on the yellow and brown app with the letters ""Ai.""",0.0,0.0,0.0,0.5848574638366699,"""Open the app with the letters 'Ai' in yellow and brown.""",0.2105263157894737,0.0,0.2105263157894737,0.6192143559455872,"""Click the app with the letters 'Ai' in yellow and brown.""",0.10526315789473685,0.0,0.10526315789473685,0.6053643822669983
